7  [28, -30, -30, 2, -28, -6, -3, -20, 24, -15]
10  [32, -24, -30, -2, -12, -6, 8, -4, 20, -15]
10  [32, -28, -30, -2, -12, -6, 8, -3, 20, -15]
9  [43, -19, -36, -2, -12, -6, 6, -4, 20, -15]
3  [28, -24, -30, 2, -12, -6, 8, -20, 24, -15]
73  [32, -30, -30, -2, -28, -6, -3, -4, 20, -15]
10  [43, -28, -30, -2, -12, -6, 8, -3, 20, -15]
8  [32, -19, -36, -2, -12, -6, 6, -4, 20, -15]
1  [32, -24, 30, -2, -1, -6, 6, -4, 4, -15]
0  [-32, -34, -30, -2, -23, -6, -8, -3, 4, -15]
32  [32, -28, -46, 9, -12, -6, 8, 3, 20, -18]
0  [28, 30, -24, -9, -28, 6, -9, -20, 18, -15]
7  [26, -24, -46, -18, -12, -6, 8, -4, 20, 1]
10  [32, -28, -30, -2, -12, -6, 8, -3, 14, -15]
10  [43, -24, -30, -2, -23, -6, 9, -4, 20, -21]
0  [43, 19, 36, 14, -12, -17, 6, 2, 31, -26]
