50  [36, -13, -19, -3, -16, 4, -7, -3, -2, -2]
50  [36, -13, -19, -3, -16, 4, -7, -3, -2, -2]
70  [36, -13, -22, -3, -5, 10, -6, -14, -2, -2]
20  [36, -13, -22, -3, -5, 4, -7, -14, -2, -2]
34  [36, -13, -22, -3, -16, 4, -7, -3, -2, -8]
72  [36, -13, -19, -3, -5, 10, -6, -14, -2, -2]
50  [36, -13, -22, -3, -16, 4, -7, -3, -2, -2]
66  [36, -13, -22, 3, -5, 10, -6, -3, -2, -2]
50  [36, -13, -19, -3, -16, 4, -7, -3, -2, -2]
50  [36, -13, -19, -3, -16, 4, -7, -3, -2, -2]
20  [36, -13, -22, -3, -5, 4, -6, -14, -2, -2]
72  [36, -13, -22, -3, -5, 10, -7, -14, -2, -2]
15  [20, -13, -38, -3, -16, -7, -7, -3, -2, -2]
7  [47, -13, -22, -19, -16, 4, -7, -3, -13, -2]
5  [36, -13, -17, -3, -16, 4, -7, -3, -8, 4]
1  [20, -2, -22, -3, -5, -6, -4, -14, -2, -2]
