19  [44, -33, -25, 8, -16, 9, -12, -18, 4, -14]
44  [60, -33, -25, 8, -16, 9, -12, -18, 4, -14]
62  [44, -44, -25, -3, 0, 20, -9, -18, 4, 3]
31  [60, -44, -25, -3, -16, 9, -12, -18, 4, -14]
73  [44, -33, -25, 8, -18, 7, -12, -2, 4, -3]
72  [60, -33, -25, -3, -16, 7, -12, -18, 3, -14]
74  [60, -33, -25, 8, -16, 9, -12, -18, 3, -14]
73  [44, -17, -25, -3, -18, 7, -5, -2, 4, -3]
44  [60, -33, -25, 8, -16, 9, -12, -18, 4, -14]
19  [44, -33, -25, 8, -16, 9, -12, -18, 4, -14]
72  [44, -44, -25, -3, -16, 20, -9, -18, 4, 3]
6  [60, -44, -25, -3, 0, 9, -12, -18, 4, -14]
52  [28, -38, -25, -3, 0, 20, -9, -18, 4, 19]
16  [44, -35, -25, -3, 16, 20, -10, -18, 4, 3]
24  [44, -17, -25, -3, -18, 7, -5, -2, 4, 13]
21  [52, -26, -25, 8, -16, 7, -12, -21, 4, -14]
