20  [20, -29, -15, 2, -5, 1, 6, -14, 4, 2]
56  [20, -29, -15, -3, -5, 1, -6, -14, 4, 2]
39  [20, -10, -15, 2, -5, 1, -1, 2, 4, 2]
55  [20, -15, -15, -14, -5, 1, -4, 2, 4, 2]
56  [20, -29, -15, 2, -5, 1, -6, -14, 4, 2]
39  [20, -10, -15, 2, -5, 1, -1, 2, 4, 2]
23  [20, -15, -15, -8, -5, 1, -4, 2, 4, -9]
74  [20, -13, -19, -3, -5, 1, -6, 2, 4, 2]
20  [20, -29, -15, 2, -5, 1, 6, -14, 4, 2]
56  [20, -29, -15, -3, -5, 1, -6, -14, 4, 2]
55  [20, -15, -15, 2, -5, 1, -4, 2, 4, 2]
20  [20, -10, -15, -14, -5, 1, -1, 2, 4, 2]
9  [20, -10, -8, -3, -5, 7, 6, 2, 4, 2]
21  [16, -13, -19, -3, -5, 1, 5, 2, 4, 13]
18  [20, -29, -35, 3, -5, -10, -7, 2, 3, 8]
73  [20, -15, -13, 3, -5, 1, -6, 2, 4, 2]
