6  [19, -28, -19, -12, 17, 1, -19, -12, 25, -22]
17  [19, -44, -35, -7, 0, -4, -8, -15, 25, -16]
33  [19, -28, -19, -18, 0, 2, -8, -15, 9, -22]
10  [16, -28, -19, -7, 0, 2, -8, -15, 25, -22]
10  [22, -28, -46, -18, 0, 1, -24, -4, 25, -19]
11  [30, -28, -13, -14, 0, 2, 8, -31, 9, -22]
38  [22, -28, -19, -18, 0, 1, -8, -15, 9, -22]
10  [22, -28, -35, -18, 0, 1, -8, -4, 25, -16]
53  [17, -28, -19, -12, -16, -1, 8, -15, 9, -6]
33  [19, -44, -19, -18, 0, 2, -8, -15, 25, -22]
7  [22, -28, -29, -12, 0, 1, 8, -4, 25, -22]
16  [19, -28, -19, -18, 6, 2, -8, -12, 25, -22]
5  [19, -44, -19, -12, 17, 1, -19, -12, 25, -22]
18  [19, -28, -35, -7, 0, -4, -8, -15, 25, -16]
5  [0, -28, -19, -5, 0, 2, -24, -18, 25, -22]
9  [-22, -28, -46, -18, 0, -5, -18, -15, 25, -19]
