10  [23, -54, -31, 9, -36, 9, -8, -2, 20, -28]
34  [29, -45, -26, -2, -47, 9, -3, -8, 20, -12]
11  [29, -51, 1, -18, -37, 14, 3, -8, 28, -23]
53  [23, -64, -26, -18, -53, 15, 8, -8, 31, -9]
73  [29, -51, -48, -18, -37, 14, 3, -18, 28, -23]
23  [29, -45, -5, -2, -28, -2, -3, -8, 20, -12]
11  [34, -35, -22, -18, -43, 11, -8, -8, 20, -12]
17  [29, -35, -26, -18, -47, 9, -3, -8, 26, -12]
29  [27, -65, -31, 20, -36, 20, -19, -18, 20, -12]
73  [29, -51, -48, -18, -37, 14, 3, -18, 28, -23]
23  [29, -45, 6, -2, -28, -2, -3, -8, 20, -12]
11  [29, -51, 1, -18, -37, 14, 3, -8, 28, -23]
37  [23, -54, -26, 9, -47, 9, -3, -2, 20, -12]
61  [29, -45, -31, -2, -36, 9, -8, -8, 20, -28]
1  [23, -64, -26, -18, -53, 15, 3, -8, 31, -9]
16  [29, -51, 1, -18, -37, 14, 8, -8, 28, -23]
57  [29, -45, -48, -18, -28, 14, -3, -8, 28, -23]
11  [29, -51, -5, -2, -37, -2, 3, -18, 20, -12]
1  [-27, 65, 31, 4, -36, 20, -19, -18, 9, -18]
4  [34, -35, -42, -18, -47, 9, -3, -8, 26, 4]
53  [29, -45, -1, -18, -48, 14, 3, -8, 28, -23]
11  [34, -64, -15, -2, -47, 15, 8, -9, 31, -9]
1  [34, -35, 22, -34, -32, 11, -8, -14, 20, -12]
7  [23, -51, 1, -34, -37, 14, -3, -6, 12, -29]
