19  [23, -53, -18, 14, -12, 5, -5, -11, 20, -12]
16  [12, -47, -15, 14, -28, 16, -11, -22, 9, -12]
24  [23, -31, -18, 14, -12, 5, -5, -11, 9, -12]
38  [46, -47, -21, 14, -12, 0, -11, -11, 9, -12]
24  [23, -31, -18, 14, -12, 5, -5, -13, 9, -12]
29  [23, -37, -26, 14, -12, 16, -11, -11, 9, -12]
35  [23, -53, -15, 14, -12, 5, -5, 5, 20, -12]
73  [23, -53, -26, 14, -12, 5, -5, 5, 14, -12]
18  [12, -53, -18, 14, -28, 16, -5, -11, 9, -12]
25  [23, -47, -15, 14, -12, 5, -11, -22, 20, -12]
40  [23, -31, -21, 14, -12, 5, -5, -11, 9, -12]
38  [46, -47, -18, 14, -12, 0, -11, -11, 9, -12]
0  [23, 53, -18, 25, -12, 4, -5, -27, 20, -12]
4  [-23, -43, -26, 14, -23, 16, -27, -11, -7, -12]
24  [23, -31, -34, 25, -12, 5, -5, -7, 9, -14]
0  [23, 53, -12, 3, -12, -5, -11, -11, 14, -12]
